stocking,spp,hgt
1000,dun,14.1
1000,dun,15.5
1000,dun,14.7
1000,dun,14.8
1000,dun,16.4
1000,dun,15.1
1000,dun,15.2
1000,dun,14.5
3333,dun,14.3
3333,dun,14.5
3333,dun,15
3333,dun,15.5
3333,dun,14
3333,dun,13.5
3333,dun,14.9
3333,dun,14.7
3333,dun,14.5
3333,dun,15.1
3333,dun,15.9
3333,dun,15.4
3333,dun,15.8
3333,dun,15
3333,dun,14.9
3333,dun,13.4
3333,dun,13.2
3333,dun,13.5
3333,dun,15
3333,dun,14.2
1667,dun,17
1667,dun,15.2
1667,dun,15.5
1667,dun,14.2
1667,dun,17.3
1667,dun,14.4
1667,dun,15.8
1667,dun,15.4
1667,dun,14
1667,dun,16.1
1667,dun,14.8
1667,dun,15
1667,dun,13.8
1667,dun,15.4
1667,dun,14.8
1667,dun,15.3
1667,dun,15.2
1667,dun,14.3
1667,dun,13.7
1667,dun,14.5
714,dun,12.8
714,dun,14.6
714,dun,14.8
714,dun,14.5
714,dun,13.3
714,dun,13.8
714,dun,14.5
714,dun,14.9
714,dun,14.4
714,dun,14.1
714,dun,14.9
714,dun,13.7
714,dun,16.1
714,dun,13.6
714,dun,15.5
714,dun,14.4
714,dun,14.4
714,dun,14.7
714,dun,13.3
714,dun,15.8
1000,dun,14.6
1000,dun,15.7
1000,dun,16.1
1000,dun,16.3
1000,dun,15.3
1000,dun,15
1000,dun,16.3
1000,dun,14.4
1000,dun,15.6
1000,dun,14.4
1000,dun,15
1000,dun,14.5
1000,dun,14
1000,dun,15.9
1000,dun,14.8
1000,dun,14.7
1000,dun,13
1000,dun,14.6
1000,dun,14.6
1000,dun,13.8
714,dun,10.8
714,dun,12.1
714,dun,13.6
714,dun,14.8
714,dun,13.2
714,dun,15
714,dun,13.8
714,dun,16.5
714,dun,16.1
714,dun,15.3
714,dun,12.2
714,dun,13.7
714,dun,15
714,dun,14.8
714,dun,13
714,dun,15.8
714,dun,14.9
714,dun,13
714,dun,13.6
714,dun,13.8
3333,dun,16.1
3333,dun,15.5
3333,dun,15.8
3333,dun,15.8
3333,dun,15.2
3333,dun,15.3
3333,dun,15.2
3333,dun,16.4
3333,dun,16.4
3333,dun,15.5
3333,dun,15.9
3333,dun,15.4
3333,dun,16
3333,dun,16
3333,dun,17
3333,dun,16.4
3333,dun,16.9
3333,dun,15.9
3333,dun,17.3
3333,dun,15.2
3333,dun,13.9
3333,dun,14
3333,dun,15.2
3333,dun,15.3
3333,dun,14.8
3333,dun,14
3333,dun,15.2
3333,dun,14.1
3333,dun,13.7
3333,dun,13.4
3333,dun,13.5
3333,dun,13.4
3333,dun,15.5
3333,dun,14.4
3333,dun,13.5
3333,dun,14.1
3333,dun,14.8
3333,dun,15.5
3333,dun,13.3
3333,dun,13.3
714,pil,15.4
714,pil,17.4
714,pil,17.6
714,pil,16.7
714,pil,18.1
714,pil,17.4
714,pil,18.5
714,pil,16.3
714,pil,17
714,pil,17.4
714,pil,15.6
714,pil,15.8
714,pil,17
714,pil,14.3
714,pil,13.1
714,pil,10.3
714,pil,15
714,pil,15.4
714,pil,14.2
714,pil,14.1
1667,pil,16.7
1667,pil,17.7
1667,pil,15.5
1667,pil,17.9
1667,pil,19.1
1667,pil,17.3
1667,pil,16.4
1667,pil,16.8
1667,pil,17.5
1667,pil,18.1
1667,pil,17.4
1667,pil,18.2
1667,pil,17
1667,pil,20
1667,pil,18.4
1667,pil,17.7
1667,pil,15.5
1667,pil,16.6
1667,pil,17.5
1667,pil,17.1
1000,pil,18.5
1000,pil,15.7
1000,pil,15.5
1000,pil,16.1
1000,pil,17.7
1000,pil,15.7
1000,pil,16
1000,pil,16.2
1000,pil,15.4
1000,pil,16
1000,pil,15.8
1000,pil,18.2
1000,pil,16.7
1000,pil,16.8
1000,pil,17.4
1000,pil,16.3
1000,pil,17.5
1000,pil,17.8
1000,pil,17.5
1000,pil,17.1
1000,pil,15.3
1000,pil,15.8
1000,pil,16
1000,pil,15.9
1000,pil,14.7
1000,pil,15.8
1000,pil,15.8
1000,pil,15.5
1000,pil,15.4
1000,pil,14.9
1000,pil,16.4
1000,pil,16.3
1000,pil,15.6
1000,pil,14.5
1000,pil,13.3
1000,pil,15.8
1000,pil,16
1000,pil,16.1
1000,pil,16
1000,pil,15.6
1000,pil,15.8
1000,pil,15.2
1000,pil,14.6
1000,pil,14.5
1000,pil,12.5
1000,pil,12.3
1000,pil,15.5
1000,pil,15.5
1000,pil,15.1
1000,pil,13.6
1000,pil,14.2
1000,pil,14.9
1000,pil,14.8
1000,pil,14.9
1000,pil,13.4
1000,pil,12.8
1000,pil,14.1
1000,pil,15.5
1000,pil,14.4
1000,pil,11.8
3333,pil,13.1
3333,pil,13.7
3333,pil,13.9
3333,pil,12.9
3333,pil,14.4
3333,pil,14.2
3333,pil,12.4
3333,pil,15.8
3333,pil,15.1
3333,pil,14.8
3333,pil,15.7
3333,pil,13.5
3333,pil,14.9
3333,pil,13.5
3333,pil,14.5
3333,pil,14.1
3333,pil,14.1
3333,pil,14.2
3333,pil,13.5
3333,pil,15
1667,pil,15.2
1667,pil,16.5
1667,pil,14.9
1667,pil,15.8
1667,pil,16.3
1667,pil,16.1
1667,pil,16.4
1667,pil,15.5
1667,pil,14.7
1667,pil,16
1667,pil,15.9
1667,pil,15.5
1667,pil,16.6
1667,pil,14.8
1667,pil,16
1667,pil,16.6
1667,pil,15.5
1667,pil,16.7
1667,pil,15.7
1667,pil,16.1
1667,pil,17
1667,pil,15
1667,pil,17.3
1667,pil,16.2
